original_ja,en_predictions,en_references,dataset
トムを見ませんでしたか？,Didn't you see Tom?,Didn't you see Tom?,tatoeba
月々給料の一部を貯金しておけば損はないよ。,You won't lose if you save a part of your salary every month.,It will pay you to save a part of your salary each month.,tatoeba
期待に応えられなくてごめんなさい。,I'm sorry I couldn't meet your expectations.,I'm sorry I couldn't live up to your expectations.,tatoeba
ジョンはサミーのレコード全集を持っている。,John has a complete book of Sammy's records.,John has the complete collection of Sam's music.,tatoeba
彼女の振る舞いはその場にふさわしいものだった。,Her behavior was appropriate for the occasion.,Her behavior was appropriate to the occasion.,tatoeba
この種の辞書は市販されている。,This kind of dictionary is on the market.,These dictionaries are on the market.,tatoeba
トムは自分の電話番号を書いた。,Tom wrote his phone number.,Tom wrote down his phone number.,tatoeba
やれやれ、女を選んで結婚することになるのか・・・。,"Well, would you choose a woman and marry her?",Maybe I will settle down with a woman.,tatoeba
父は結果に満足していました。,My father was satisfied with the result.,My father was happy with the result.,tatoeba
りんごが木から落ちた。,An apple fell off the tree.,The apple fell from the tree.,tatoeba
彼には全く腹が立った。,I was quite angry with him.,I was very much annoyed with him.,tatoeba
彼はその仕事をやれる力量があった。,He had the ability to do the work.,He was equal to the job.,tatoeba
自分の部屋の掃除をしなければならない。,I have to clean my room.,I have to clean my room.,tatoeba
私たちは戦いに勝った。,We won the battle.,We won the battle.,tatoeba
私はフランス語で小説を書くことは出来ないと思う。,I don't think I can write a novel in French.,I think it impossible for me to write a novel in French.,tatoeba
彼の家族は彼のことを敬愛していた。そしてある意味で彼は彼らに甘やかされていた。,"His family devoutly loved him, and in a sense he was spoiled by them.",His family adored him and in a sense he was spoiled by them.,tatoeba
彼は大きな花束を抱えてやって来た。,He came with a large bundle of flowers.,He came bearing a large bunch of flowers.,tatoeba
今度の協定を３社で承認し合った。,The agreement was approved by three companies.,This agreement was confirmed by three companies.,tatoeba
走ったほうがよさそうだ。,You might as well run.,I must run.,tatoeba
あの男は一週間前に肺ガンで死んだ。,That man died of lung cancer a week ago.,That man died of lung cancer a week ago.,tatoeba
ジョーはその女の子にすっかり参っている。,Joe is very much in love with the girl.,Joe's nuts about the girl.,tatoeba
君がいつも遅刻するのはどういうわけかね。,Why are you always late?,Why is it that you're always late?,tatoeba
ビルがどこに行ってしまったかだれも知らない。,Nobody knows where Bill has gone.,Nobody knows where Bill has gone.,tatoeba
私は以前、あの女の子に会ったことがある。,I've met that girl before.,I have seen that girl before.,tatoeba
我々の相互理解が必要である。,We need to understand each other.,Our mutual understanding is indispensable.,tatoeba
私の声のテープを送ります。,I'll send you a tape of my voice.,I will send you a tape of my voice.,tatoeba
すぐに諦めて昼寝をするかも知れない。,You may give up at once and take a nap.,I may give up soon and just take a nap.,tatoeba
彼のことを気の毒に思わずにはいられなかった。,I couldn't help feeling sorry for him.,I could not help feeling sorry for him.,tatoeba
1859年以降、プロテスタント宣教師がアメリカから派遣され、またカトリックとロシア正教も布教活動を行った。,"After 1859, Protestant missionaries were dispatched from the United States, and Catholic and Russian Orthodox churches were also engaged in missionary work.","From 1859, Protestant missionaries from America started to arrive, and the Catholic and Russian Orthodox churches also became actively involved in missionary work.",tatoeba
これ以上生意気言うとたたくぞ。,"If you take your own life any longer, you'll be tough.",No more of your cheek or I'll hit you!,tatoeba
金持ちかもしれないがけちだ。,"Maybe he's rich, but he's stingy.","He may be rich, but he is stingy.",tatoeba
私は長崎を案内するために彼らといっしょに行きました。,I went with them to show them around Nagasaki.,I went with them so that I could guide them around Nagasaki.,tatoeba
この壬申検査には文部官僚の町田久成（東京国立博物館の初代館長）、蜷川式胤のほか、油絵画家の高橋由一、写真師の横山松三郎らが記録係として同行した。,"Hisanari MACHIDA, the first director of Tokyo National Museum, Noritane AKUTAGAWA, Yuichi TAKAHASHI, an oil painter, and Matsusaburo YOKOYAMA, a photographer, accompanied him as a recorder.","During this Jinshin Inspection, along with officials from the Education Ministry such as Hisanari MACHIDA (the first director of the Tokyo National Museum) and Noritane NINAGAWA, Yuichi TAKAHASHI (a painter) and Matsusaburo YOKOYAMA (a photographer) accompanied the team as recorders.",kftt
本書は、伊予吉田藩にて御殿医を勤めた平住専安（生年不詳-享保19年8月7日（1734年9月4日））が、正徳_(日本)年間に著した。,This book was written by Senan HIRAZUMI who served as Goteni in the Iyo-Yoshida Domain during the 1734 and 1734.,"The book was written in the Shotoku (Japan) era by Senan HIRAZUMI (year of birth unknown, died on September 4, 1734) who served as a family doctor to the lord of the domain of Iyo-Yoshida.",kftt
横田商會（よこたしょうかい、1903年6月設立-1912年9月合併）は、かつて京都に存在した日本の映画会社である。,Yokota Shokai was a Japanese film company that once existed in Kyoto.,"Yokota Shokai (founded in June 1903, consolidated in September 1921) is a Japanese film company once existed in Kyoto.",kftt
しかし、活動弁士を生業として、それのみで生活できるのは現在では澤登翠などごくわずかであり、大半の活動弁士は、山崎バニラのように声優などのテレビ出演や、山田広野のように映画監督など、副業を持っている場合が多い。,"However, only a few people can live on katsudo benshi as a regular occupation, such as Tou SAWA, and most katsudo benshi have side jobs such as voice acting on TV and film directors such as Hirono YAMADA, such as vanilla YAMAZAKI.","However today there are very few, Midori SAWATO is one of these few, who can make their living exclusively by movie narration, so most katsudo benshi have sidelines such as television voice acting like Vanilla YAMAZAKI, or as film directors like Hirono YAMADA.",kftt
その義維としても、あわよくば将軍への道が拓けようというのだから、積極的に関わったとも察せられる。,"Yoshitsuna was also thought to have been actively involved in the plot because if Yoshitsuna did so, the path to the Shogun would be improved.",Yoshitsuna was possibly engaged in it positively because he would be on track to becoming Shogun if circumstances allowed.,kftt
義平次は金を貰えると聞いて駕籠を返すが、「アニよ、その金は？」「さあ、その金は・・・」「その金は？」「その金、ここにはござりませぬわい」と金子に見せかけた石を出す。,"Giheiji returns the palanquin when he hears that he will receive the money, and says to Kaneko, ""Ani, what's the money?"" ""Yes, that's the money ..."" ""What's the money?"" ""I don't want the money here,"" and he puts out a stone to show it to Kaneko.","Giheiji heard that he could get some money and had the palanquin return and said, 'Hey, where's the money?', 'Well, that money is...', 'Yes? That money?', 'I don't have the money here' and takes out the stone camouflaging as money.",kftt
たとえば左京大夫は大名中でも四職家にしか許されない官であったが、戦国期には地方の小大名ですら任じられるようになり、時には複数の大名が同時期に任じられることもあった。,"For example, Sakyo no daibu was a government post that could only be allowed to be granted to Shishiki-ke among daimyo, but in the Sengoku period, even small feudal lords in the provinces were appointed to Sakyo no daibu, and sometimes several daimyo were appointed to Sakyo no daibu at the same time.","For example, the post called Sakyo no daibu (Master of the Eastern Capital Offices) used to be a one which was only given to the four specific families called Shishiki-ke (four administrators' family: Yamana, Isshiki, Akamatsu, Kyogoku) among all the daimyo, however, during the Sengoku period even a low rank daimyo in a rural area was awarded the post and sometimes multiple daimyos were awarded at the same time.",kftt
これは、大原に住みついた念仏行者を取り締まり、大原にそれ以前からあった来迎院(京都市左京区)、勝林院などの寺院を管理するために設置されたものである。,"It was established to control nenbutsu practitioners who lived in Ohara and to manage temples such as Raigo-in Temple , Shorin-in Temple , which had existed before that in Ohara.","This was established in order to supervise the Nembutsu practitioners who inhabited Ohara and administer other temples that were already present in Ohara, such as Raigo-in Temple (Sakyo Ward, Kyoto City) and Shorin-in Temple.",kftt
しかし近世に至って表現豊かな楽器である三味線が渡来、完成され、更に箏、胡弓が加わり、これらによる新たな音楽が生まれた。,"However, shamisen, which was an expressive instrument, was introduced to Japan and perfected in the early-modern times, and koto and kokyu were added, and new music using these instruments was born.","However, the shamisen, an instrument full of expression, introduced from abroad and reached its full potential by the early Edo period, and moreover, the koto and kokyu were added and consequently a new kind of music developed.",kftt
大化の改新以後、唐の影響を受けた様々な制度・行事・儀礼が行われるようになり、その際の様々な礼儀作法が定められるようになった。,"After the Taika Reforms, various systems, events, and ceremonies influenced by Tang began to be held, and various manners and manners were established at that time.","After the Taika Reform, various systems, functions, and formalities influenced by Tang models began to be introduced, and various rules and customs began to be prescribed.",kftt
いっぽうリュートが撥を捨て、指頭で弾くことから多音性を発達させ、弦数も増えていったのに比べ、日本の琵琶は逆に撥を大型化して一音にすべてを込め、また打楽器的効果を持たせた。,"On the other hand, while the lutes gave up the shaku and played with their fingertips, the multi-tone quality was developed, and the number of strings increased, Japanese biwa changed the shaku to a large scale, adding all the sounds to the sound, and giving the effect of percussion instruments.","Lutes abandoned plectrums and developed polyphony by playing with fingers and increased the number of strings, but Japanese biwa made its plectrum bigger and tried to express all tones in one tone and also give a percussion-like effect.",kftt
以後、萬福寺を中心として高遊会の茶会・会合が行われ、煎茶道復興が計られた。,"After that, tea parties and meetings of Koyukai were held centering around Manpuku-ji Temple, and the restoration of Senchado was planned.","Since then, Koyukai's tea parties and meetings have been held with Manpuku-ji temple at the center, aiming for a renaissance of Senchado.",kftt
永禄11年（1568年）、織田信長が足利義昭を擁して上洛してくると摂津の他の豪族が降伏していくなか、敢然と抵抗したが、信長の圧倒的な軍事力の前に降服せざるを得なかった。,"In 1568, when Nobunaga ODA went to Kyoto with Yoshiaki ASHIKAGA as his leader, other powerful families in Settsu Province fiercely resisted, but Nobunaga had to surrender in the face of overwhelming military force.","In 1568, when Nobunaga ODA went to Kyoto supporting Yoshiaki ASHIKAGA, the Ikeda clan resisted ruling by Nobunaga while other local ruling families in Settsu Province capitulated to Nobunaga, but the Ikeda clan finally capitulated due to overwhelming military force of Nobunaga.",kftt
アニメーション作家宮崎駿の｢風の谷のナウシカ」のナウシカはこの姫君から着想を得ている。,"Nausicaä in the animation ""Nausicaä of the Valley of the Wind"" by animation artist Hayao MIYAZAKI was inspired by this princess.","Nausicaa of animation cartoonist Hayao MIYAZAKI's ""Nausicaa of the Valley of Wind"" was inspired by the princess.",kftt
もし間人皇女＝「中皇命」とすれば、なぜ彼女だけが特別にこうした呼称で呼ばれる必要性があったのかを考えられるが、斉明天皇だとする説もあり、必ずしも確証は無い。,"If Hashihito no Himemiko was 'Nakatsusumeramikoto,' it is possible why only she needed to be called by such a special name, but there is also a theory that she was Empress Saimei, and there is no proof.","If Hashihito no Himemiko was the same person as ""Nakatsusumera-mikoto,"" there is a question why only she had this special name; alternatively, it is said that this name could have been for Empress Saimei, but there is no proof.",kftt
この浄土教をルーツに、平安末期の良忍の融通念仏宗や、法然の浄土宗、親鸞の浄土真宗、一遍の時宗などの鎌倉新仏教が派生した。,"Based on this Jodo sect, Kamakura New Buddhism such as the Yuzu Nenbutsu sect of Ryonin in the late Heian period, the Jodo sect of Honen, the Jodo Shinshu sect of Shinran, and the Ji sect of Ippen were derived.","Various beliefs sprung from Jodo (Pure Land) sect to Kamakura New Buddhism, such as Yuzu Nenbutsu (reciting the name of Amitabha) by Ryonin in the late Heian period, Jodo Sect by Honen, Jodo Shinshu (the True Pure Land Sect of Buddhism) by Shinran, and Ji Sect by Ippen.",kftt
海戦用の水軍や朝鮮沿岸を西進する作戦を持たなかった日本軍は、陸戦部隊や後方で輸送任務にあたっていた部隊から急遽水軍を編成して対抗した。,"The Japanese army, which did not have a naval force or a plan to sail westward along the coast of Korea, quickly organized the navy from the land-based units and those that were in charge of transportation in the rear, and fought against it.","The Japanese army that did not have a navy for fighting on the sea nor a plan to proceed to the west along the coast of Korea, they hastily organized a navy with troops for land combat and troops that had been engulfed in transportation in the rear to cope with the Korean navy.",kftt
「書跡」は宸翰、和漢名家筆跡、古筆、墨跡、法帖等で日本の書道史上の遺品を指す。,"Calligraphy' refers to works left in the history of calligraphy in Japan such as shinkan , handwritings of famous calligraphers in Chinese and Japanese classics, ancient calligraphy, bokuseki , and hojo .","Calligraphy work' refers to Imperial letters, examples of handwriting by well-known calligraphers of Japan and China, ancient writings, ink calligraphy, calligraphy copybooks, and any other written works (in Japan) of historical significance by deceased calligraphers.",kftt
文久三年五月頃（1863年6月～7月）に入隊し、同月二十五日（1863年7月10日）の「幕府提出上書署名者一覧」に名前がある。,"He joined the Miburoshigumi in around June 1863, and his name is included in the 'List of Signers for Official Documents Submitted to the Shogunate' in July 25, 1863.","Takumi joined the Miburoshigumi in around June or July, 1863, as his name appeared in a 'List of Signers for Official Documents Submitted to the Shogunate' ('Bakufu Teishutsu Josho Shomeisha Ichiran' in Japanese) which was dated July 10, 1863.",kftt
「西の覗き」を過ぎると前述の護持院によって運営される5軒の宿坊が建ち並び、その先に本堂が建つ。,"After 'Nishi no Nozoki' , five shukubo run by Goji-in Temple mentioned above stand side by side, and the main hall stands ahead of them.","After passing the 'Nishi no Nozoki' trial, the path leads to the previously mentioned five lodging houses, beyond which stands the main hall.",kftt
戦国時代には、八木に守護代内藤氏、園部に武名の名高い荒木氏綱、美山町域は秦氏の末裔という（但し異説がある）川勝氏が割拠した。,"During the Sengoku period , the Naito clan, who were Shugodai in Yagi, Ujitsuna ARAKI, who was famous for his military fame in Sonobe, and the Miyama-cho area were the descendants of the Hata clan .","In the Sengoku period (period of warring states), the Naito clan appointed as Shugodai (representative of provincial shugo) established influence in Yagi, Ujitsuna ARAKI renowned for military fame established influence in Sonobe, and the Kawakatsu clan believed to be a scion of the Hata clan (however, other people have different opinions) established influence in the town area of Miyama, respectively.",kftt
2月21日は「社参」が行なわれ、新入を除く練行衆が和上を先頭に列を作り、八幡殿、大仏殿、天皇殿、開山堂に参詣し、行の安全を祈願する。,"On February 21, 'Shasan' is held, and Rengyoshu except Shinnyu form a line at the top of Wajo and visit Hachiman-den Hall, Daibutsu-den Hall, Tenno-den Hall and Kaisan-do Hall to pray for the safety of the procession.","""Shasan"" (visit to shrines or temples) is done on February 21, and the Rengyoshu except for Shinnyu form a line led by Wajo and visit Hachimanden, Daibutsu-den (the Great Buddha hall), Tennoden (the Guardian Kings Hall) and Kaisan-do Hall (temple where the statue of founder priest is placed) and pray for the security of the practice.",kftt
そして6月、遂に清浦内閣は倒れ、第一党の加藤高明に内閣組閣の大命が下った。,"In June, the KIYOURA cabinet finally collapsed and Takaaki KATO of the first party received an order to form a cabinet.","In June, the KIYOURA cabinet was brought down at last and Takaaki Kato, the leader of the leading party received a mandate to form a new cabinet.",kftt
特に缶コーヒーのような雰囲気が重視される商品の場合、ケミカルな印象がマイナスイメージにもなりえる。,"Especially in the case of products where an atmosphere like canned coffee is valued, the negative impression can be the negative impression.","More especially, in products where the atmosphere is valued as canned coffee, a chemical-like impression may give a negative impression.",kftt
そのように、建てられてきた城の象徴的な多重建物、いわゆる天守をさらに流行させたのは豊臣秀吉である。,"It was Hideyoshi TOYOTOMI who further popularized so-called Tenshu , symbolic multiple buildings that had been built in this way.","Hideyoshi TOYOTOMI further popularized so-called Tenshu, symbolic multiple-story buildings which had been so constructed.",kftt
以後上方歌舞伎は歌舞伎界の中心から外れてゆくが、丁度上方から江戸への文化伝播にともない、江戸歌舞伎が発展していくのと符合する。,"After that, Kamigata Kabuki fell out of the center of the Kabuki world, but it coincided with the spread of culture from Kamigata to Edo, which led to the development of Edo Kabuki.","After this period, Kamigata Kabuki drifted from the center of the Kabuki world, coinciding with the development of Edo Kabuki in conjunction with the dissemination of culture from Kamigata (Kyoto and Osaka area) to Edo.",kftt
マダラジソf.rosea(G.Nicholson)Kudô-斑紫蘇。,Madarajiso f. rosea Kudô - Makurajiso.,"Madara-jiso, f. rosea (G.Nicholson) Kudo",kftt
生産量の30-40%を占める最も多い部位であり、かつての学校給食にも供給された。,"It is the most abundant part of the production, accounting for 30-40% of the production, and was also fed to former school lunches.","These portions constitute the largest part of the whale meat produced, occupying 30 % to 40%, and have been used in school lunches in the past.",kftt
260形261-262号車が九条山付近（蹴上～日ノ岡間）の専用軌道上に回送運転され、九条山付近（蹴上～日ノ岡間の専用軌道上）～御陵府道東踏切付近間の旅客営業を行わない事実上の最終列車となる。,"Model 260 cars of 261-262 are deadheaded on the exclusive track between Keage and Hinooka near Kujoyama, and this is the de facto final train that doesn't carry passengers between Keage and Hinooka in the vicinity of Kujoyama .","A train using model 260 cars of 261-262 was deadheaded to the exclusive track located in the vicinity of Kujoyama (Keage - Hinooka section), and ultimately it was the last train with no passenger service that ran between the vicinity of Kujoyama (on the exclusive track between Keage and Hinooka) and the vicinity of the east crossing on the Misasagi Prefectural Route.",kftt
このとき邪魔が入らぬように鴨川の堤から警護したのが兼家の命を受けた清和源氏の源満仲とその郎党達である。,"At that time, MINAMOTO no Mitsunaka of Seiwa-Genji and his retainers, who were ordered by Kaneie, guarded them from the bank of the Kamo-gawa River so as not to interfere.","At that time, having received orders from Kaneie, MINAMOTO no Mitsunaka of the Seiwa Genji (the MINAMOTO family were descended from the Emperor Seiwa) and his retainers protected the Emperor from the opposition at the bend of the Kamogawa River.",kftt
肯定的立場からは、事実上の国歌として歌われてきた明治以来の伝統を重視するリベラル寄りの意見がある。,"From a positive standpoint, there is a liberal-leaning opinion that emphasizes the tradition since the Meiji period, which has been sung as a de facto national anthem.","From the affirmative standpoints, there is an opinion on the liberal side which places importance upon tradition since the Meiji Period to sing as de facto, the national anthem.",kftt
伊勢の北畠具教に一時期寄食し、軍師的な役割をこなして海賊退治をした事もあったと言われるが定かではない。,"It is said that he temporarily slept with Tomonori KITABATAKE of Ise Province and played a role as a strategist to exterminate pirates, but this is not certain.","It is said that he temporarily lived off Tomonori KITABATAKE of Ise Province, playing a role as a strategist and exterminated pirate ship, but the truth is unknown.",kftt
まず位階の昇進を受けて、その後に昇進後の位階に相当する官職の就任資格を得るのが原則であった。,"Basically, a person was promoted first and then qualified to assume the government post corresponding to the court rank after the promotion.",The principal was that the official was promoted on Ikai first and then received the qualification to assume the government post equivalent to the Ikai.,kftt
知念森城（ちねんもりぐすく）は沖縄の歌集『おもろさうし』に神が初めに現れた城として登場する。,"Chinenmori-jo Castle appears in Okinawan poetry anthology ""Omoshirososhi"" as a castle where gods first appeared.","Chinenmori-gusuku Castle is said to be a castle in which a god appeared for the first time in Okinawan poetry anthology ""Omoshirososhi"" (Interesting Literature).",kftt
これは彼の功績であると称賛され、以後、即位礼は紫宸殿で行われる例となった。,"He was praised for this achievement, and since then, the enthronement ceremony has been held in the Shishinden Hall.","This decision was highly praised as his great achievement, and it became customary to hold the coronation ceremony in the Shishinden Hall.",kftt
このような将軍の犬死は、古来例を聞いたことがない」と書き残している。,I have never heard of such a shogun's death by dog in ancient times.',There were no precedent for such lost of shogun's life for nothing since ancient times.,kftt
1543年（天文(元号)12年）、ポルトガル商人が乗った中国船が種子島に漂着。,1543: A Chinese ship with Portuguese merchants drifted ashore on Tanegashima Island.,"In 1543, Chinese ship with Portuguese merchants on board drifted down to Tanegashima Island.",kftt
古川節蔵（ふるかわせつぞう、幼名・岡本亀五郎。通称・岡本周吉、のち古川節蔵、古川正雄。ペンネーム・岡本博卿など。1837年（天保8年）3月4日）-1877年（明治10年）4月2日）は、明治期の教育者。,"Setsuzo FURUKAWA , also known as Shukichi OKAMOTO, later Setsuzo FURUKAWA, Masao FURUKAWA, etc. was an educator in the Meiji period.","Setsuzo FURUKAWA (March 4, 1837 - April 2, 1877) was an educator of the Meiji period (childhood name was Kamegoro OKAMOTO; common name was Shukichi OKAMOTO, later changed to Setsuzo FURUKAWA and to Masao FURUKAWA; pen name was Hakukei OKAMOTO and so on).",kftt
朝廷の天皇問題の頃から過労が原因で倒れていた泰時は、赤痢を併発させて体調が悪化したため、出家して観阿と号し、1ヶ月半後の仁治3年（1242年）6月15日に死去した。,"Yasutoki, who had been sick due to overwork since around the time of the Emperor's issue in the Imperial Court, became sick with dysentery, so he became a priest and took the name Kanna, and died one and a half months later on June 15, 1242.","Yasutoki, who had been sick with excessive fatigue since the occurrence of the dispute of imperial enthronement, became more sick due to dysentery accompaning the fatigue; subsequently, he became a Buddhist priest and had the priestly name Kana; he died one-and-a-half months later on July 21, 1242.",kftt
