original_ja,en_predictions,en_references,dataset
トムが遅刻するのもいたしかたなかった。,tom had to be late.,Tom had a good reason for being late.,tatoeba
月は夜に輝く。,the moon shines at night.,The moon shines at night.,tatoeba
トムを見ませんでしたか？,have you seen tom?,Didn't you see Tom?,tatoeba
月々給料の一部を貯金しておけば損はないよ。,"if you save a part of your monthly salary, you won't lose any money.",It will pay you to save a part of your salary each month.,tatoeba
期待に応えられなくてごめんなさい。,i'm sorry i didn't meet your expectations.,I'm sorry I couldn't live up to your expectations.,tatoeba
ジョンはサミーのレコード全集を持っている。,john has a whole collection of sammy records.,John has the complete collection of Sam's music.,tatoeba
彼女の振る舞いはその場にふさわしいものだった。,her behavior was appropriate.,Her behavior was appropriate to the occasion.,tatoeba
この種の辞書は市販されている。,this type of dictionary is available on the market.,These dictionaries are on the market.,tatoeba
トムは自分の電話番号を書いた。,tom wrote down his phone number.,Tom wrote down his phone number.,tatoeba
やれやれ、女を選んで結婚することになるのか・・・。,"well, i guess i'll have to choose a woman and get married.",Maybe I will settle down with a woman.,tatoeba
父は結果に満足していました。,he was happy with the outcome.,My father was happy with the result.,tatoeba
りんごが木から落ちた。,apple fell from a tree.,The apple fell from the tree.,tatoeba
彼には全く腹が立った。,i was so mad at him.,I was very much annoyed with him.,tatoeba
彼はその仕事をやれる力量があった。,he had the strength to do his job.,He was equal to the job.,tatoeba
自分の部屋の掃除をしなければならない。,i have to clean my room.,I have to clean my room.,tatoeba
私たちは戦いに勝った。,we won the war.,We won the battle.,tatoeba
私はフランス語で小説を書くことは出来ないと思う。,i don't think i can write a novel in french.,I think it impossible for me to write a novel in French.,tatoeba
彼の家族は彼のことを敬愛していた。そしてある意味で彼は彼らに甘やかされていた。,"his family adored him, and in some ways he was spoiled by them.",His family adored him and in a sense he was spoiled by them.,tatoeba
彼は大きな花束を抱えてやって来た。,he came with a big bouquet.,He came bearing a large bunch of flowers.,tatoeba
今度の協定を３社で承認し合った。,the three of us have agreed to this arrangement.,This agreement was confirmed by three companies.,tatoeba
走ったほうがよさそうだ。,it's better to run.,I must run.,tatoeba
あの男は一週間前に肺ガンで死んだ。,that man died of lung cancer a week ago.,That man died of lung cancer a week ago.,tatoeba
ジョーはその女の子にすっかり参っている。,joe's crazy about that girl.,Joe's nuts about the girl.,tatoeba
君がいつも遅刻するのはどういうわけかね。,i wonder why you're always late.,Why is it that you're always late?,tatoeba
ビルがどこに行ってしまったかだれも知らない。,i don't even know where bill went.,Nobody knows where Bill has gone.,tatoeba
私は以前、あの女の子に会ったことがある。,i've met that girl before.,I have seen that girl before.,tatoeba
我々の相互理解が必要である。,we need to understand each other.,Our mutual understanding is indispensable.,tatoeba
私の声のテープを送ります。,i'll send you a tape of my voice.,I will send you a tape of my voice.,tatoeba
すぐに諦めて昼寝をするかも知れない。,i might just give up and take a nap.,I may give up soon and just take a nap.,tatoeba
彼のことを気の毒に思わずにはいられなかった。,i couldn't help feeling sorry for him.,I could not help feeling sorry for him.,tatoeba
1859年以降、プロテスタント宣教師がアメリカから派遣され、またカトリックとロシア正教も布教活動を行った。,"since 1859, there have been missionaries sent from the u.s. and catholic and russian orthodoxy.","From 1859, Protestant missionaries from America started to arrive, and the Catholic and Russian Orthodox churches also became actively involved in missionary work.",tatoeba
これ以上生意気言うとたたくぞ。,i won't be able to say anything more impertinent.,No more of your cheek or I'll hit you!,tatoeba
金持ちかもしれないがけちだ。,"you may be rich, but you're poor.","He may be rich, but he is stingy.",tatoeba
私は長崎を案内するために彼らといっしょに行きました。,i went with them to show them nagasaki.,I went with them so that I could guide them around Nagasaki.,tatoeba
この壬申検査には文部官僚の町田久成（東京国立博物館の初代館長）、蜷川式胤のほか、油絵画家の高橋由一、写真師の横山松三郎らが記録係として同行した。,this inspection was accompanied by the literary bureaucrat machida kubo and photo artist yokoyama matsurou.,"During this Jinshin Inspection, along with officials from the Education Ministry such as Hisanari MACHIDA (the first director of the Tokyo National Museum) and Noritane NINAGAWA, Yuichi TAKAHASHI (a painter) and Matsusaburo YOKOYAMA (a photographer) accompanied the team as recorders.",kftt
本書は、伊予吉田藩にて御殿医を勤めた平住専安（生年不詳-享保19年8月7日（1734年9月4日））が、正徳_(日本)年間に著した。,"this is a letter written by heiji makoto, who worked as a doctor in iseji, japan on august 7, 1734.","The book was written in the Shotoku (Japan) era by Senan HIRAZUMI (year of birth unknown, died on September 4, 1734) who served as a family doctor to the lord of the domain of Iyo-Yoshida.",kftt
横田商會（よこたしょうかい、1903年6月設立-1912年9月合併）は、かつて京都に存在した日本の映画会社である。,yokodawashi corporation is a japanese movie company that once existed in kyoto.,"Yokota Shokai (founded in June 1903, consolidated in September 1921) is a Japanese film company once existed in Kyoto.",kftt
しかし、活動弁士を生業として、それのみで生活できるのは現在では澤登翠などごくわずかであり、大半の活動弁士は、山崎バニラのように声優などのテレビ出演や、山田広野のように映画監督など、副業を持っている場合が多い。,"but, as a life of activators, it's very rare to live off of tv appearance, like yamazaki banirah, and filmmaker, like yamada manino.","However today there are very few, Midori SAWATO is one of these few, who can make their living exclusively by movie narration, so most katsudo benshi have sidelines such as television voice acting like Vanilla YAMAZAKI, or as film directors like Hirono YAMADA.",kftt
その義維としても、あわよくば将軍への道が拓けようというのだから、積極的に関わったとも察せられる。,"it's also obvious that he was willing to cooperate, because he wanted to open the door to the general.",Yoshitsuna was possibly engaged in it positively because he would be on track to becoming Shogun if circumstances allowed.,kftt
義平次は金を貰えると聞いて駕籠を返すが、「アニよ、その金は？」「さあ、その金は・・・」「その金は？」「その金、ここにはござりませぬわい」と金子に見せかけた石を出す。,"yoshiehei, i'm going to ask you if you'll give me money, and i'm going to return the basket, and i'm going to ask you for money, and you're going to","Giheiji heard that he could get some money and had the palanquin return and said, 'Hey, where's the money?', 'Well, that money is...', 'Yes? That money?', 'I don't have the money here' and takes out the stone camouflaging as money.",kftt
たとえば左京大夫は大名中でも四職家にしか許されない官であったが、戦国期には地方の小大名ですら任じられるようになり、時には複数の大名が同時期に任じられることもあった。,"for example, the great duke of zurich was a man who was only allowed to be in four households, but during the war, even the local noblemen could be in command at the same time.","For example, the post called Sakyo no daibu (Master of the Eastern Capital Offices) used to be a one which was only given to the four specific families called Shishiki-ke (four administrators' family: Yamana, Isshiki, Akamatsu, Kyogoku) among all the daimyo, however, during the Sengoku period even a low rank daimyo in a rural area was awarded the post and sometimes multiple daimyos were awarded at the same time.",kftt
これは、大原に住みついた念仏行者を取り締まり、大原にそれ以前からあった来迎院(京都市左京区)、勝林院などの寺院を管理するために設置されたものである。,"it was set up to control temples, temples, temples, temples, temples, temples.","This was established in order to supervise the Nembutsu practitioners who inhabited Ohara and administer other temples that were already present in Ohara, such as Raigo-in Temple (Sakyo Ward, Kyoto City) and Shorin-in Temple.",kftt
しかし近世に至って表現豊かな楽器である三味線が渡来、完成され、更に箏、胡弓が加わり、これらによる新たな音楽が生まれた。,"but in the last century, the threedimensional instruments became more expressive, they were finished, and more and more and more and more and more and new music was created by them.","However, the shamisen, an instrument full of expression, introduced from abroad and reached its full potential by the early Edo period, and moreover, the koto and kokyu were added and consequently a new kind of music developed.",kftt
大化の改新以後、唐の影響を受けた様々な制度・行事・儀礼が行われるようになり、その際の様々な礼儀作法が定められるようになった。,"after the great reformation, various systems and events and rituals derived from the qi began to take place, and various etiquette laws were established.","After the Taika Reform, various systems, functions, and formalities influenced by Tang models began to be introduced, and various rules and customs began to be prescribed.",kftt
いっぽうリュートが撥を捨て、指頭で弾くことから多音性を発達させ、弦数も増えていったのに比べ、日本の琵琶は逆に撥を大型化して一音にすべてを込め、また打楽器的効果を持たせた。,"japan's rits have doubled the number of strings because they've lost the strings, and because they're played with a指, they can put all the notes into one sound.","Lutes abandoned plectrums and developed polyphony by playing with fingers and increased the number of strings, but Japanese biwa made its plectrum bigger and tried to express all tones in one tone and also give a percussion-like effect.",kftt
以後、萬福寺を中心として高遊会の茶会・会合が行われ、煎茶道復興が計られた。,"after that, the tea ceremony and meeting of the high society were held in ryuguji temple, and the revival of the tea ceremony was determined.","Since then, Koyukai's tea parties and meetings have been held with Manpuku-ji temple at the center, aiming for a renaissance of Senchado.",kftt
永禄11年（1568年）、織田信長が足利義昭を擁して上洛してくると摂津の他の豪族が降伏していくなか、敢然と抵抗したが、信長の圧倒的な軍事力の前に降服せざるを得なかった。,"in the year 1568, oda nobunaga, who had no choice but to surrender in the face of nobunaga's overwhelming military power.","In 1568, when Nobunaga ODA went to Kyoto supporting Yoshiaki ASHIKAGA, the Ikeda clan resisted ruling by Nobunaga while other local ruling families in Settsu Province capitulated to Nobunaga, but the Ikeda clan finally capitulated due to overwhelming military force of Nobunaga.",kftt
アニメーション作家宮崎駿の｢風の谷のナウシカ」のナウシカはこの姫君から着想を得ている。,the nassica of the valley of wind came from this princess.,"Nausicaa of animation cartoonist Hayao MIYAZAKI's ""Nausicaa of the Valley of Wind"" was inspired by the princess.",kftt
もし間人皇女＝「中皇命」とすれば、なぜ彼女だけが特別にこうした呼称で呼ばれる必要性があったのかを考えられるが、斉明天皇だとする説もあり、必ずしも確証は無い。,"there is a theory that she was the empress, but there is no confirmation that she was the empress","If Hashihito no Himemiko was the same person as ""Nakatsusumera-mikoto,"" there is a question why only she had this special name; alternatively, it is said that this name could have been for Empress Saimei, but there is no proof.",kftt
この浄土教をルーツに、平安末期の良忍の融通念仏宗や、法然の浄土宗、親鸞の浄土真宗、一遍の時宗などの鎌倉新仏教が派生した。,"this puritanism was revered in lutz by the zen buddhism of the end of the heian era, the zen buddhism of the ancient times, the zen buddhism of the ancient times, the zen buddhism","Various beliefs sprung from Jodo (Pure Land) sect to Kamakura New Buddhism, such as Yuzu Nenbutsu (reciting the name of Amitabha) by Ryonin in the late Heian period, Jodo Sect by Honen, Jodo Shinshu (the True Pure Land Sect of Buddhism) by Shinran, and Ji Sect by Ippen.",kftt
海戦用の水軍や朝鮮沿岸を西進する作戦を持たなかった日本軍は、陸戦部隊や後方で輸送任務にあたっていた部隊から急遽水軍を編成して対抗した。,"the japanese army, which did not have a strategy to move west along the koreans coast, took on the naval and shipping troops from the rear.","The Japanese army that did not have a navy for fighting on the sea nor a plan to proceed to the west along the coast of Korea, they hastily organized a navy with troops for land combat and troops that had been engulfed in transportation in the rear to cope with the Korean navy.",kftt
「書跡」は宸翰、和漢名家筆跡、古筆、墨跡、法帖等で日本の書道史上の遺品を指す。,calligraphy is the study of japanese archaeological artifacts.,"Calligraphy work' refers to Imperial letters, examples of handwriting by well-known calligraphers of Japan and China, ancient writings, ink calligraphy, calligraphy copybooks, and any other written works (in Japan) of historical significance by deceased calligraphers.",kftt
文久三年五月頃（1863年6月～7月）に入隊し、同月二十五日（1863年7月10日）の「幕府提出上書署名者一覧」に名前がある。,"he joined in may of 1863 and has a name on the list signed by the shogunate on july 5, the same month.","Takumi joined the Miburoshigumi in around June or July, 1863, as his name appeared in a 'List of Signers for Official Documents Submitted to the Shogunate' ('Bakufu Teishutsu Josho Shomeisha Ichiran' in Japanese) which was dated July 10, 1863.",kftt
「西の覗き」を過ぎると前述の護持院によって運営される5軒の宿坊が建ち並び、その先に本堂が建つ。,"after the west entrance, there will be five inns run by the guardian inn, and the main hall will be built ahead.","After passing the 'Nishi no Nozoki' trial, the path leads to the previously mentioned five lodging houses, beyond which stands the main hall.",kftt
戦国時代には、八木に守護代内藤氏、園部に武名の名高い荒木氏綱、美山町域は秦氏の末裔という（但し異説がある）川勝氏が割拠した。,"during the great war, yagi's protector, daimyo shachou, and sono, the legendary araki clan, were divided into minamachi and kawaguchi.","In the Sengoku period (period of warring states), the Naito clan appointed as Shugodai (representative of provincial shugo) established influence in Yagi, Ujitsuna ARAKI renowned for military fame established influence in Sonobe, and the Kawakatsu clan believed to be a scion of the Hata clan (however, other people have different opinions) established influence in the town area of Miyama, respectively.",kftt
2月21日は「社参」が行なわれ、新入を除く練行衆が和上を先頭に列を作り、八幡殿、大仏殿、天皇殿、開山堂に参詣し、行の安全を祈願する。,"on the 21st of february, the saigai will be held, where the new students will line up and pray for the safety of yatsuhara, the mperor, and the opening of the gates.","""Shasan"" (visit to shrines or temples) is done on February 21, and the Rengyoshu except for Shinnyu form a line led by Wajo and visit Hachimanden, Daibutsu-den (the Great Buddha hall), Tennoden (the Guardian Kings Hall) and Kaisan-do Hall (temple where the statue of founder priest is placed) and pray for the security of the practice.",kftt
そして6月、遂に清浦内閣は倒れ、第一党の加藤高明に内閣組閣の大命が下った。,"and in june, the seimei cabinet fell and kato takahane, the leader of the first party, was killed.","In June, the KIYOURA cabinet was brought down at last and Takaaki Kato, the leader of the leading party received a mandate to form a new cabinet.",kftt
特に缶コーヒーのような雰囲気が重視される商品の場合、ケミカルな印象がマイナスイメージにもなりえる。,"especially when you're looking at a product like canned coffee, a chemical impression can be a negative impression.","More especially, in products where the atmosphere is valued as canned coffee, a chemical-like impression may give a negative impression.",kftt
そのように、建てられてきた城の象徴的な多重建物、いわゆる天守をさらに流行させたのは豊臣秀吉である。,"that's why the castle's iconic multimedia, socalled amaterasu, was popularized by lord toyotomi hideyoshi.","Hideyoshi TOYOTOMI further popularized so-called Tenshu, symbolic multiple-story buildings which had been so constructed.",kftt
以後上方歌舞伎は歌舞伎界の中心から外れてゆくが、丁度上方から江戸への文化伝播にともない、江戸歌舞伎が発展していくのと符合する。,"from now on, the upper echelon kabuki will move away from the heart of kabuki, but from the top, it will be a sign of edo's cultural heritage.","After this period, Kamigata Kabuki drifted from the center of the Kabuki world, coinciding with the development of Edo Kabuki in conjunction with the dissemination of culture from Kamigata (Kyoto and Osaka area) to Edo.",kftt
マダラジソf.rosea(G.Nicholson)Kudô-斑紫蘇。,madalagithof.rosea kud akushio.,"Madara-jiso, f. rosea (G.Nicholson) Kudo",kftt
生産量の30-40%を占める最も多い部位であり、かつての学校給食にも供給された。,"it's the most abundant part of the farm, 30 to 40 percent of the farm's product, and it's even fed to the former school lunch.","These portions constitute the largest part of the whale meat produced, occupying 30 % to 40%, and have been used in school lunches in the past.",kftt
260形261-262号車が九条山付近（蹴上～日ノ岡間）の専用軌道上に回送運転され、九条山付近（蹴上～日ノ岡間の専用軌道上）～御陵府道東踏切付近間の旅客営業を行わない事実上の最終列車となる。,the 260 form 261262 will be driven on a dedicated track near kyushiyama.,"A train using model 260 cars of 261-262 was deadheaded to the exclusive track located in the vicinity of Kujoyama (Keage - Hinooka section), and ultimately it was the last train with no passenger service that ran between the vicinity of Kujoyama (on the exclusive track between Keage and Hinooka) and the vicinity of the east crossing on the Misasagi Prefectural Route.",kftt
このとき邪魔が入らぬように鴨川の堤から警護したのが兼家の命を受けた清和源氏の源満仲とその郎党達である。,"in order to avoid getting in the way, the men who guard the river bank are the men who took the life of genji genji and his followers.","At that time, having received orders from Kaneie, MINAMOTO no Mitsunaka of the Seiwa Genji (the MINAMOTO family were descended from the Emperor Seiwa) and his retainers protected the Emperor from the opposition at the bend of the Kamogawa River.",kftt
肯定的立場からは、事実上の国歌として歌われてきた明治以来の伝統を重視するリベラル寄りの意見がある。,"from a positive point of view, there are liberals who emphasize the historical traditions that have been sung as the official national anthem since the beginning of the new regime.","From the affirmative standpoints, there is an opinion on the liberal side which places importance upon tradition since the Meiji Period to sing as de facto, the national anthem.",kftt
伊勢の北畠具教に一時期寄食し、軍師的な役割をこなして海賊退治をした事もあったと言われるが定かではない。,"i'm not sure if it's true or not, but there was a time when he dined in the north temple in ise and played a tactical role in the capture of pirates.","It is said that he temporarily lived off Tomonori KITABATAKE of Ise Province, playing a role as a strategist and exterminated pirate ship, but the truth is unknown.",kftt
まず位階の昇進を受けて、その後に昇進後の位階に相当する官職の就任資格を得るのが原則であった。,"it was the principle to get a promotion to the top, then a promotion to the top, then a promotion to the top.",The principal was that the official was promoted on Ikai first and then received the qualification to assume the government post equivalent to the Ikai.,kftt
知念森城（ちねんもりぐすく）は沖縄の歌集『おもろさうし』に神が初めに現れた城として登場する。,"in the nozomu song collection, the first castle god appeared.","Chinenmori-gusuku Castle is said to be a castle in which a god appeared for the first time in Okinawan poetry anthology ""Omoshirososhi"" (Interesting Literature).",kftt
これは彼の功績であると称賛され、以後、即位礼は紫宸殿で行われる例となった。,"it was celebrated as his accomplishment, and since then, the ceremony has been performed in the palace of purple.","This decision was highly praised as his great achievement, and it became customary to hold the coronation ceremony in the Shishinden Hall.",kftt
このような将軍の犬死は、古来例を聞いたことがない」と書き残している。,i've never heard of such a general's death.,There were no precedent for such lost of shogun's life for nothing since ancient times.,kftt
1543年（天文(元号)12年）、ポルトガル商人が乗った中国船が種子島に漂着。,"in 1543, a chinese ship sailed by a portuguese merchant landed on a remote island.","In 1543, Chinese ship with Portuguese merchants on board drifted down to Tanegashima Island.",kftt
古川節蔵（ふるかわせつぞう、幼名・岡本亀五郎。通称・岡本周吉、のち古川節蔵、古川正雄。ペンネーム・岡本博卿など。1837年（天保8年）3月4日）-1877年（明治10年）4月2日）は、明治期の教育者。,"furukawa shuizo, 1877, pen name okamoto kazuhiro, aka okamoto yoshio, etc.","Setsuzo FURUKAWA (March 4, 1837 - April 2, 1877) was an educator of the Meiji period (childhood name was Kamegoro OKAMOTO; common name was Shukichi OKAMOTO, later changed to Setsuzo FURUKAWA and to Masao FURUKAWA; pen name was Hakukei OKAMOTO and so on).",kftt
朝廷の天皇問題の頃から過労が原因で倒れていた泰時は、赤痢を併発させて体調が悪化したため、出家して観阿と号し、1ヶ月半後の仁治3年（1242年）6月15日に死去した。,"since the mperor's trouble in court, taizan, who collapsed due to excessive work, returned home and died on june 15th, a month and a half later.","Yasutoki, who had been sick with excessive fatigue since the occurrence of the dispute of imperial enthronement, became more sick due to dysentery accompaning the fatigue; subsequently, he became a Buddhist priest and had the priestly name Kana; he died one-and-a-half months later on July 21, 1242.",kftt
子に松平康政（長男）、松平康映（次男）、松平康命（三男）、松平康紀（四男）、松平康敬（五男）、松平康久（七男）、娘（亀井政矩正室）、娘（小笠原長次正室）、娘（西園寺公満室）、娘（牧野康成(与板藩主)正室）、娘（松平利綱正室）、娘（竹中重義正室）、娘（岡田元直室）、娘（貫名重用室）、娘（貝塚某室）らがいる。,"he has a daughter, a daughter, a daughter, a daughter, a daughter.","His children are Yasumasa MATSUDAIRA (first son), Yasuteru MATSUDAIRA (second son), Yasunori MATSUDAIRA (third son), Yasunori MATSUDAIRA (fourth son), Yasutaka MATSUDAIRA (fifth son), Yasuhisa MATSUDAIRA (seventh son), a daughter (lawful wife of Nagatsugu OGASAWARA), a daughter (lawful wife of Kinmitsu SAIONJI), a daughter (lawful wife of Yasunari MAKINO[lord of Yoita Domain]), a daughter (lawful wife of Toshitsuna MATSUDAIRA), a daughter (lawful wife of Shigeyoshi TAKENAKA), a daughter (lawful wife of Motonao OKADA), a daughter (lawful wife of Shigeyoshi NUKINA), a daughter (lawful wife of Nanigashi KAIZUKA) etc.",kftt
その後は車両増結で対処したが、当時人口が急増していた西宮市北部地区や三田市の住民から快速列車の設定を希望する声が相次いだため、民営化後の1989年より快速が登場（快速の区間は現在と同じく、大阪～三田間のみ）。,"since then, there has been a sudden increase in the number of train trains, but since the population in the northern part of osaka and the town of mita has increased rapidly since the privateization of 1989.","Although some cars were added, many people living in the northern area in Nishinomiya City and Sanda City, in which a rapid increase in population was seen, asked that rapid trains be provided, and some rapid trains came on the scene after the privatization of JNR in 1989 (the section for the rapid train was only between Osaka and Sanda, which is the same as today).",kftt
ボタンもあるが、何も書かれておらず、押しても止まらないとの音声が流れる。,"there's a button, but there's nothing written on it, and there's a sound that says it won't stop.","There are buttons for the two floors but they are unmarked and when pushed, an announcement states that the elevator doesn't stop at those floors.",kftt
都落ち後、退勢にある平家の中でひとり気を吐き、水島の戦い、六箇度合戦、屋島の戦いで奮戦して河内源氏を苦しめた。,"after the fall of the capital, in the rebellion of the heike clan, he struggled in the battle of mizushima, the six consecutive battles, and the battle of ihara.","After the Taira family fled the capital, Noritsune was the only one who did well in the declining Taira family and fought furiously in the Battle of Mizushima, the Battle of Rokukado, and the Battle of Yashima, harassing the Kawachi Genji.",kftt
その点、俳優興行共にまとまりを欠き、大阪の経済の地盤沈下による後援者の減少などマイナスの要件が重なった関西歌舞伎は不運であった。,"on the other hand, the kansai kabuki association was unhappy with the lack of support due to the fall of osaka's economy.","Kansai Kabuki proved unlucky by comparison because of overlapping negative elements, including a lack of solidarity among actors and promoters and a drop in the number of sponsors because of the decline of Osaka's economy.",kftt
そのうえで、海軍陸戦隊と海兵隊大日本帝国陸海軍を上陸させて第2砲台を放火した。,"in the process, we launched the navy and the marines of the great japanese navy.",Then they sent Naval Landing Forces and Marine Corps and Landing Forces of the Empire of Japan to set fire to the second gun battery.,kftt
また山崎駅(京都府)前の妙喜庵には千利休の現存する二例の茶室作例の一つである茶室待庵（国宝）が現存する。,"also, there is a tea house waiting area in yukikio in front of yamasaki station.","The Myokian Temple in front of Yamazaki Station (Kyoto Prefecture) holds the tea ceremony house called 'Taian' (a national treasure), one of the two existing tea ceremony houses designed by SEN no Rikyu.",kftt
