original_ja,en_predictions,en_references,dataset
彼が登場すると群集は歓声を上げた。,"When he came in, the crowd applauded.",The crowd cheered when he appeared.,tatoeba
見知らぬ人が近づいてきて、私に博物館へ行く道をたずねた。,A stranger approached me and asked me the way to the museum.,"A stranger came up, asking me the way to the museum.",tatoeba
制服を着なさい。,Put your uniform on.,Put on your uniform.,tatoeba
あなたはその結果に満足していますか。,Are you satisfied with the result?,Are you satisfied with the result?,tatoeba
我々は地域社会について考えないといけない。,We have to think about the community.,We must think about the community.,tatoeba
水の価値は井戸がかれて始めて分かる。,The value of water is recognized first by the well.,We never know the worth of water till the well is dry.,tatoeba
私たちは草の上に横になった。,We lay on the grass.,We lay on the grass.,tatoeba
彼女は忘れ物を渡すために彼を呼び戻した。,She called him back to give him something he had left behind.,She called him back to give him something left behind.,tatoeba
彼女は日本人です。,She's Japanese.,She is Japanese.,tatoeba
誰が君にそのニュースを教えたのですか。,Who told you the news?,Who told you the news?,tatoeba
トムが遅刻するのもいたしかたなかった。,Tom couldn't help but be late.,Tom had a good reason for being late.,tatoeba
月は夜に輝く。,The moon shines at night.,The moon shines at night.,tatoeba
トムを見ませんでしたか？,Have you seen Tom?,Didn't you see Tom?,tatoeba
月々給料の一部を貯金しておけば損はないよ。,"If you save up a part of your salary every month, it will do you good.",It will pay you to save a part of your salary each month.,tatoeba
期待に応えられなくてごめんなさい。,I'm sorry I couldn't live up to my expectations.,I'm sorry I couldn't live up to your expectations.,tatoeba
ジョンはサミーのレコード全集を持っている。,John has a full collection of Sammy's records.,John has the complete collection of Sam's music.,tatoeba
彼女の振る舞いはその場にふさわしいものだった。,Her behavior was appropriate for the occasion.,Her behavior was appropriate to the occasion.,tatoeba
この種の辞書は市販されている。,This kind of dictionary is on the market.,These dictionaries are on the market.,tatoeba
トムは自分の電話番号を書いた。,Tom wrote his phone number.,Tom wrote down his phone number.,tatoeba
やれやれ、女を選んで結婚することになるのか・・・。,"Oh, my God, are you going to marry a woman?",Maybe I will settle down with a woman.,tatoeba
父は結果に満足していました。,My father was satisfied with the result.,My father was happy with the result.,tatoeba
りんごが木から落ちた。,An apple fell from the tree.,The apple fell from the tree.,tatoeba
彼には全く腹が立った。,I was totally angry with him.,I was very much annoyed with him.,tatoeba
彼はその仕事をやれる力量があった。,He had the strength to do the work.,He was equal to the job.,tatoeba
自分の部屋の掃除をしなければならない。,I have to clean my room.,I have to clean my room.,tatoeba
私たちは戦いに勝った。,We won the battle.,We won the battle.,tatoeba
私はフランス語で小説を書くことは出来ないと思う。,I don't think I can write a novel in French.,I think it impossible for me to write a novel in French.,tatoeba
彼の家族は彼のことを敬愛していた。そしてある意味で彼は彼らに甘やかされていた。,"His family respected him. In a sense, he was spoiled by them.",His family adored him and in a sense he was spoiled by them.,tatoeba
彼は大きな花束を抱えてやって来た。,He came with a large bouquet of flowers.,He came bearing a large bunch of flowers.,tatoeba
今度の協定を３社で承認し合った。,This agreement was approved by three companies.,This agreement was confirmed by three companies.,tatoeba
走ったほうがよさそうだ。,I think we should run.,I must run.,tatoeba
あの男は一週間前に肺ガンで死んだ。,That man died of lung cancer a week ago.,That man died of lung cancer a week ago.,tatoeba
ジョーはその女の子にすっかり参っている。,Joe is completely attached to that girl.,Joe's nuts about the girl.,tatoeba
君がいつも遅刻するのはどういうわけかね。,Why is it that you're always late?,Why is it that you're always late?,tatoeba
ビルがどこに行ってしまったかだれも知らない。,Nobody knows where Bill went.,Nobody knows where Bill has gone.,tatoeba
私は以前、あの女の子に会ったことがある。,I've met that girl before.,I have seen that girl before.,tatoeba
我々の相互理解が必要である。,We need our mutual understanding.,Our mutual understanding is indispensable.,tatoeba
私の声のテープを送ります。,I'll send you a tape of my voice.,I will send you a tape of my voice.,tatoeba
すぐに諦めて昼寝をするかも知れない。,I might give up soon and take a nap.,I may give up soon and just take a nap.,tatoeba
彼のことを気の毒に思わずにはいられなかった。,I couldn't help feeling sorry for him.,I could not help feeling sorry for him.,tatoeba
1859年以降、プロテスタント宣教師がアメリカから派遣され、またカトリックとロシア正教も布教活動を行った。,"After 1859, Protestant missionaries were sent from the United States, and Catholic and Russian Orthodox were also preaching.","From 1859, Protestant missionaries from America started to arrive, and the Catholic and Russian Orthodox churches also became actively involved in missionary work.",tatoeba
これ以上生意気言うとたたくぞ。,"If you're being mean any more, I'll beat you.",No more of your cheek or I'll hit you!,tatoeba
金持ちかもしれないがけちだ。,It's easy to get rich.,"He may be rich, but he is stingy.",tatoeba
私は長崎を案内するために彼らといっしょに行きました。,I went with them to guide Nagasaki.,I went with them so that I could guide them around Nagasaki.,tatoeba
この壬申検査には文部官僚の町田久成（東京国立博物館の初代館長）、蜷川式胤のほか、油絵画家の高橋由一、写真師の横山松三郎らが記録係として同行した。,"In addition to the Toshigawa Seed, the oil painter, Takahashi Takasaki, the photographer, accompanied him as a recordr for this inspection.","During this Jinshin Inspection, along with officials from the Education Ministry such as Hisanari MACHIDA (the first director of the Tokyo National Museum) and Noritane NINAGAWA, Yuichi TAKAHASHI (a painter) and Matsusaburo YOKOYAMA (a photographer) accompanied the team as recorders.",kftt
本書は、伊予吉田藩にて御殿医を勤めた平住専安（生年不詳-享保19年8月7日（1734年9月4日））が、正徳_(日本)年間に著した。,This book was written during the last year of my life.,"The book was written in the Shotoku (Japan) era by Senan HIRAZUMI (year of birth unknown, died on September 4, 1734) who served as a family doctor to the lord of the domain of Iyo-Yoshida.",kftt
横田商會（よこたしょうかい、1903年6月設立-1912年9月合併）は、かつて京都に存在した日本の映画会社である。,A Japanese film company that once existed in Kyoto.,"Yokota Shokai (founded in June 1903, consolidated in September 1921) is a Japanese film company once existed in Kyoto.",kftt
しかし、活動弁士を生業として、それのみで生活できるのは現在では澤登翠などごくわずかであり、大半の活動弁士は、山崎バニラのように声優などのテレビ出演や、山田広野のように映画監督など、副業を持っている場合が多い。,"However, only a few are able to live on their own, and most of them often have side jobs, such as voice performances like Yamazaki, or movie director like Yamada.","However today there are very few, Midori SAWATO is one of these few, who can make their living exclusively by movie narration, so most katsudo benshi have sidelines such as television voice acting like Vanilla YAMAZAKI, or as film directors like Hirono YAMADA.",kftt
その義維としても、あわよくば将軍への道が拓けようというのだから、積極的に関わったとも察せられる。,It's obvious that he was actively involved because he was willing to take the easy way to the general as well as to take the initiative.,Yoshitsuna was possibly engaged in it positively because he would be on track to becoming Shogun if circumstances allowed.,kftt
義平次は金を貰えると聞いて駕籠を返すが、「アニよ、その金は？」「さあ、その金は・・・」「その金は？」「その金、ここにはござりませぬわい」と金子に見せかけた石を出す。,"I'll return the basket when I hear that I'll get the gold, but I'll give it back to you: ""O Ani, how much money do you have?"" ""Come on, the money is... ""What's that money?"" ""That gold, it's not here,"" and I'll give you the stone that made it look like gold.""","Giheiji heard that he could get some money and had the palanquin return and said, 'Hey, where's the money?', 'Well, that money is...', 'Yes? That money?', 'I don't have the money here' and takes out the stone camouflaging as money.",kftt
たとえば左京大夫は大名中でも四職家にしか許されない官であったが、戦国期には地方の小大名ですら任じられるようになり、時には複数の大名が同時期に任じられることもあった。,"For example, Yoonichi, who was allowed only by his four - year - old family, was allowed only by his four - year - old son, but during the war, even the small local names came to be named at the same time, and sometimes a number of major names were assigned to him at the same time.","For example, the post called Sakyo no daibu (Master of the Eastern Capital Offices) used to be a one which was only given to the four specific families called Shishiki-ke (four administrators' family: Yamana, Isshiki, Akamatsu, Kyogoku) among all the daimyo, however, during the Sengoku period even a low rank daimyo in a rural area was awarded the post and sometimes multiple daimyos were awarded at the same time.",kftt
これは、大原に住みついた念仏行者を取り締まり、大原にそれ以前からあった来迎院(京都市左京区)、勝林院などの寺院を管理するために設置されたものである。,"This has been set up to control temples such as the University of Japan, the Fukuokas, and other temples that lived in Ohara.","This was established in order to supervise the Nembutsu practitioners who inhabited Ohara and administer other temples that were already present in Ohara, such as Raigo-in Temple (Sakyo Ward, Kyoto City) and Shorin-in Temple.",kftt
しかし近世に至って表現豊かな楽器である三味線が渡来、完成され、更に箏、胡弓が加わり、これらによる新たな音楽が生まれた。,"However, in the next generation, new music has been born with a colorful musical instrument that has been completed and the bow added to it.","However, the shamisen, an instrument full of expression, introduced from abroad and reached its full potential by the early Edo period, and moreover, the koto and kokyu were added and consequently a new kind of music developed.",kftt
大化の改新以後、唐の影響を受けた様々な制度・行事・儀礼が行われるようになり、その際の様々な礼儀作法が定められるようになった。,"After a new revolution, various institutions, events and rituals that were influenced by the pepper began to take place, and various manners were prescribed.","After the Taika Reform, various systems, functions, and formalities influenced by Tang models began to be introduced, and various rules and customs began to be prescribed.",kftt
いっぽうリュートが撥を捨て、指頭で弾くことから多音性を発達させ、弦数も増えていったのに比べ、日本の琵琶は逆に撥を大型化して一音にすべてを込め、また打楽器的効果を持たせた。,"However, while lyto had to throw away the lynx, had to play with the fingers, had to develop multiple notes, and had to increase the number of strings, Japan's lynx had the opposite effect.","Lutes abandoned plectrums and developed polyphony by playing with fingers and increased the number of strings, but Japanese biwa made its plectrum bigger and tried to express all tones in one tone and also give a percussion-like effect.",kftt
以後、萬福寺を中心として高遊会の茶会・会合が行われ、煎茶道復興が計られた。,"From then on, tea party meetings were held at a high-frequency party, centered at the Kunihito.","Since then, Koyukai's tea parties and meetings have been held with Manpuku-ji temple at the center, aiming for a renaissance of Senchado.",kftt
永禄11年（1568年）、織田信長が足利義昭を擁して上洛してくると摂津の他の豪族が降伏していくなか、敢然と抵抗したが、信長の圧倒的な軍事力の前に降服せざるを得なかった。,But I was forced to surrender before his overwhelming military force.,"In 1568, when Nobunaga ODA went to Kyoto supporting Yoshiaki ASHIKAGA, the Ikeda clan resisted ruling by Nobunaga while other local ruling families in Settsu Province capitulated to Nobunaga, but the Ikeda clan finally capitulated due to overwhelming military force of Nobunaga.",kftt
アニメーション作家宮崎駿の｢風の谷のナウシカ」のナウシカはこの姫君から着想を得ている。,"This princess is the inspiration of the ""Norisica in the Valley of Wind"" by Miyazaki, an animation writer.","Nausicaa of animation cartoonist Hayao MIYAZAKI's ""Nausicaa of the Valley of Wind"" was inspired by the princess.",kftt
もし間人皇女＝「中皇命」とすれば、なぜ彼女だけが特別にこうした呼称で呼ばれる必要性があったのかを考えられるが、斉明天皇だとする説もあり、必ずしも確証は無い。,"If you're talking about the Chinese Emperor, you can think of why only she had to be called by these special names, but there are theories that say he is the Emperor, and that he is not necessarily confirmed.","If Hashihito no Himemiko was the same person as ""Nakatsusumera-mikoto,"" there is a question why only she had this special name; alternatively, it is said that this name could have been for Empress Saimei, but there is no proof.",kftt
この浄土教をルーツに、平安末期の良忍の融通念仏宗や、法然の浄土宗、親鸞の浄土真宗、一遍の時宗などの鎌倉新仏教が派生した。,"This sanctimonious religion was introduced into the roots of the Koran and into Buddhism, such as the Buddhist belief in the immortality of the soul at the end of peace, as well as the legal sanctimonious cults, the sanctimonious cults of the dead, and the cults of the Buddha.","Various beliefs sprung from Jodo (Pure Land) sect to Kamakura New Buddhism, such as Yuzu Nenbutsu (reciting the name of Amitabha) by Ryonin in the late Heian period, Jodo Sect by Honen, Jodo Shinshu (the True Pure Land Sect of Buddhism) by Shinran, and Ji Sect by Ippen.",kftt
海戦用の水軍や朝鮮沿岸を西進する作戦を持たなかった日本軍は、陸戦部隊や後方で輸送任務にあたっていた部隊から急遽水軍を編成して対抗した。,"The Japanese, who didn't have a plan to go west on the seaside or on the coast of Korea, formed a fleet of quicksands from those who were on a transport mission by land or by the back.","The Japanese army that did not have a navy for fighting on the sea nor a plan to proceed to the west along the coast of Korea, they hastily organized a navy with troops for land combat and troops that had been engulfed in transportation in the rear to cope with the Korean navy.",kftt
「書跡」は宸翰、和漢名家筆跡、古筆、墨跡、法帖等で日本の書道史上の遺品を指す。,"""The Marks of the Book"" include handwriting, old handwriting, ink, etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc., etc.","Calligraphy work' refers to Imperial letters, examples of handwriting by well-known calligraphers of Japan and China, ancient writings, ink calligraphy, calligraphy copybooks, and any other written works (in Japan) of historical significance by deceased calligraphers.",kftt
文久三年五月頃（1863年6月～7月）に入隊し、同月二十五日（1863年7月10日）の「幕府提出上書署名者一覧」に名前がある。,"I'll join you in May 1863, and you'll find my name in the ""Clear of the Signer of the Order"" in the twenty-fiveth of January and July 10, 1863.","Takumi joined the Miburoshigumi in around June or July, 1863, as his name appeared in a 'List of Signers for Official Documents Submitted to the Shogunate' ('Bakufu Teishutsu Josho Shomeisha Ichiran' in Japanese) which was dated July 10, 1863.",kftt
「西の覗き」を過ぎると前述の護持院によって運営される5軒の宿坊が建ち並び、その先に本堂が建つ。,"After the ""West Look,"" there will be five children who will be run by the guardianhouse. The main building will be set up beyond that.","After passing the 'Nishi no Nozoki' trial, the path leads to the previously mentioned five lodging houses, beyond which stands the main hall.",kftt
戦国時代には、八木に守護代内藤氏、園部に武名の名高い荒木氏綱、美山町域は秦氏の末裔という（但し異説がある）川勝氏が割拠した。,"At the time of the war, Mr. Yaki was taken into custody by Mr. Yaki, Mr. Toto, the famous warrior Miyagi, and Miyayama's successor.","In the Sengoku period (period of warring states), the Naito clan appointed as Shugodai (representative of provincial shugo) established influence in Yagi, Ujitsuna ARAKI renowned for military fame established influence in Sonobe, and the Kawakatsu clan believed to be a scion of the Hata clan (however, other people have different opinions) established influence in the town area of Miyama, respectively.",kftt
2月21日は「社参」が行なわれ、新入を除く練行衆が和上を先頭に列を作り、八幡殿、大仏殿、天皇殿、開山堂に参詣し、行の安全を祈願する。,"On February 21st, the Convents, except for new arrivals, will line up at the head of the Republic.","""Shasan"" (visit to shrines or temples) is done on February 21, and the Rengyoshu except for Shinnyu form a line led by Wajo and visit Hachimanden, Daibutsu-den (the Great Buddha hall), Tennoden (the Guardian Kings Hall) and Kaisan-do Hall (temple where the statue of founder priest is placed) and pray for the security of the practice.",kftt
そして6月、遂に清浦内閣は倒れ、第一党の加藤高明に内閣組閣の大命が下った。,"And finally, in June, the Confederate of Koura fell and the Prime Minister's life came to nothing.","In June, the KIYOURA cabinet was brought down at last and Takaaki Kato, the leader of the leading party received a mandate to form a new cabinet.",kftt
特に缶コーヒーのような雰囲気が重視される商品の場合、ケミカルな印象がマイナスイメージにもなりえる。,"Especially in products where the atmosphere of cans of coffee is high, the comical impression can be negative.","More especially, in products where the atmosphere is valued as canned coffee, a chemical-like impression may give a negative impression.",kftt
そのように、建てられてきた城の象徴的な多重建物、いわゆる天守をさらに流行させたのは豊臣秀吉である。,It was Hideki's valor that gave rise to the symbolic multiple buildings of castles that have been built and the so-called protections that have become more popular.,"Hideyoshi TOYOTOMI further popularized so-called Tenshu, symbolic multiple-story buildings which had been so constructed.",kftt
以後上方歌舞伎は歌舞伎界の中心から外れてゆくが、丁度上方から江戸への文化伝播にともない、江戸歌舞伎が発展していくのと符合する。,"Since then, Kabuki above has fallen from the center of Kabuki's realm, but it is consistent with the development of Edo, not just the culture of the upper to Edo, but the development of Edo.","After this period, Kamigata Kabuki drifted from the center of the Kabuki world, coinciding with the development of Edo Kabuki in conjunction with the dissemination of culture from Kamigata (Kyoto and Osaka area) to Edo.",kftt
マダラジソf.rosea(G.Nicholson)Kudô-斑紫蘇。,I'm going to ask you a few questions.,"Madara-jiso, f. rosea (G.Nicholson) Kudo",kftt
生産量の30-40%を占める最も多い部位であり、かつての学校給食にも供給された。,"It's the largest portion of production, 30 to 40 percent, and it's also supplied with food for previous school.","These portions constitute the largest part of the whale meat produced, occupying 30 % to 40%, and have been used in school lunches in the past.",kftt
260形261-262号車が九条山付近（蹴上～日ノ岡間）の専用軌道上に回送運転され、九条山付近（蹴上～日ノ岡間の専用軌道上）～御陵府道東踏切付近間の旅客営業を行わない事実上の最終列車となる。,This will be the last virtual train not to make a travel trip between the Tohoku-sama and the Tohoku-sama.,"A train using model 260 cars of 261-262 was deadheaded to the exclusive track located in the vicinity of Kujoyama (Keage - Hinooka section), and ultimately it was the last train with no passenger service that ran between the vicinity of Kujoyama (on the exclusive track between Keage and Hinooka) and the vicinity of the east crossing on the Misasagi Prefectural Route.",kftt
このとき邪魔が入らぬように鴨川の堤から警護したのが兼家の命を受けた清和源氏の源満仲とその郎党達である。,The people who protected us from the banks of the river at this time are the source of Mr. Shikoku's life and the members of his yakuza party.,"At that time, having received orders from Kaneie, MINAMOTO no Mitsunaka of the Seiwa Genji (the MINAMOTO family were descended from the Emperor Seiwa) and his retainers protected the Emperor from the opposition at the bend of the Kamogawa River.",kftt
肯定的立場からは、事実上の国歌として歌われてきた明治以来の伝統を重視するリベラル寄りの意見がある。,"From a positive point of view, there is a liberal opinion that emphasizes the tradition that has been sung as a practical national song since Meiji.","From the affirmative standpoints, there is an opinion on the liberal side which places importance upon tradition since the Meiji Period to sing as de facto, the national anthem.",kftt
伊勢の北畠具教に一時期寄食し、軍師的な役割をこなして海賊退治をした事もあったと言われるが定かではない。,It's said that he had killed pirates for a time and played a military role in Iseshima's North Korean religion. It's not certain.,"It is said that he temporarily lived off Tomonori KITABATAKE of Ise Province, playing a role as a strategist and exterminated pirate ship, but the truth is unknown.",kftt
まず位階の昇進を受けて、その後に昇進後の位階に相当する官職の就任資格を得るのが原則であった。,It was the principle of getting a promotion first and then qualifying for the post level.,The principal was that the official was promoted on Ikai first and then received the qualification to assume the government post equivalent to the Ikai.,kftt
知念森城（ちねんもりぐすく）は沖縄の歌集『おもろさうし』に神が初めに現れた城として登場する。,"The castle that God first appeared in Okinawa's song ""Treasure.""","Chinenmori-gusuku Castle is said to be a castle in which a god appeared for the first time in Okinawan poetry anthology ""Omoshirososhi"" (Interesting Literature).",kftt
これは彼の功績であると称賛され、以後、即位礼は紫宸殿で行われる例となった。,"This was praised as his achievement, and then his immediate title was illustrated in the case of Sakura Shikoku.","This decision was highly praised as his great achievement, and it became customary to hold the coronation ceremony in the Shishinden Hall.",kftt
このような将軍の犬死は、古来例を聞いたことがない」と書き残している。,"""I've never heard of such a general's dog death,"" he wrote.",There were no precedent for such lost of shogun's life for nothing since ancient times.,kftt
1543年（天文(元号)12年）、ポルトガル商人が乗った中国船が種子島に漂着。,"In 1543, a Chinese ship carried by Portuguese traders landed on Seed Island.","In 1543, Chinese ship with Portuguese merchants on board drifted down to Tanegashima Island.",kftt
古川節蔵（ふるかわせつぞう、幼名・岡本亀五郎。通称・岡本周吉、のち古川節蔵、古川正雄。ペンネーム・岡本博卿など。1837年（天保8年）3月4日）-1877年（明治10年）4月2日）は、明治期の教育者。,I'm sure you'll be able to get along well with me.,"Setsuzo FURUKAWA (March 4, 1837 - April 2, 1877) was an educator of the Meiji period (childhood name was Kamegoro OKAMOTO; common name was Shukichi OKAMOTO, later changed to Setsuzo FURUKAWA and to Masao FURUKAWA; pen name was Hakukei OKAMOTO and so on).",kftt
朝廷の天皇問題の頃から過労が原因で倒れていた泰時は、赤痢を併発させて体調が悪化したため、出家して観阿と号し、1ヶ月半後の仁治3年（1242年）6月15日に死去した。,"When it was clear that overwork had been caused by the Emperor's trouble in the morning, his condition had deteriorated due to his complications, so he left to go home and look at him. He died on June 15 a month and a half later.","Yasutoki, who had been sick with excessive fatigue since the occurrence of the dispute of imperial enthronement, became more sick due to dysentery accompaning the fatigue; subsequently, he became a Buddhist priest and had the priestly name Kana; he died one-and-a-half months later on July 21, 1242.",kftt
子に松平康政（長男）、松平康映（次男）、松平康命（三男）、松平康紀（四男）、松平康敬（五男）、松平康久（七男）、娘（亀井政矩正室）、娘（小笠原長次正室）、娘（西園寺公満室）、娘（牧野康成(与板藩主)正室）、娘（松平利綱正室）、娘（竹中重義正室）、娘（岡田元直室）、娘（貫名重用室）、娘（貝塚某室）らがいる。,"We have a room, daughter, daughter, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law, daughter-in-law.","His children are Yasumasa MATSUDAIRA (first son), Yasuteru MATSUDAIRA (second son), Yasunori MATSUDAIRA (third son), Yasunori MATSUDAIRA (fourth son), Yasutaka MATSUDAIRA (fifth son), Yasuhisa MATSUDAIRA (seventh son), a daughter (lawful wife of Nagatsugu OGASAWARA), a daughter (lawful wife of Kinmitsu SAIONJI), a daughter (lawful wife of Yasunari MAKINO[lord of Yoita Domain]), a daughter (lawful wife of Toshitsuna MATSUDAIRA), a daughter (lawful wife of Shigeyoshi TAKENAKA), a daughter (lawful wife of Motonao OKADA), a daughter (lawful wife of Shigeyoshi NUKINA), a daughter (lawful wife of Nanigashi KAIZUKA) etc.",kftt
その後は車両増結で対処したが、当時人口が急増していた西宮市北部地区や三田市の住民から快速列車の設定を希望する声が相次いだため、民営化後の1989年より快速が登場（快速の区間は現在と同じく、大阪～三田間のみ）。,"After that, they were dealt with by car growth, but since the inhabitants of the northern city of Nishime and the city of Sanda wanted to set up a fast train at that time, more rapid than in 1989 after the civilization, the rapid speed between Japan and Japan has now reached its present stage.)","Although some cars were added, many people living in the northern area in Nishinomiya City and Sanda City, in which a rapid increase in population was seen, asked that rapid trains be provided, and some rapid trains came on the scene after the privatization of JNR in 1989 (the section for the rapid train was only between Osaka and Sanda, which is the same as today).",kftt
ボタンもあるが、何も書かれておらず、押しても止まらないとの音声が流れる。,"There are buttons, but there's nothing written, and if you push it, you have to stop.","There are buttons for the two floors but they are unmarked and when pushed, an announcement states that the elevator doesn't stop at those floors.",kftt
都落ち後、退勢にある平家の中でひとり気を吐き、水島の戦い、六箇度合戦、屋島の戦いで奮戦して河内源氏を苦しめた。,"After the fall of the city, he was alone in the peace house in the retreating zone, and he fought six times in the battle of Mishima, and in the battle of Yoichi Island, and he suffered the inner source of the river.","After the Taira family fled the capital, Noritsune was the only one who did well in the declining Taira family and fought furiously in the Battle of Mizushima, the Battle of Rokukado, and the Battle of Yashima, harassing the Kawachi Genji.",kftt
