original_ja,en_predictions,en_references,dataset
すぐに諦めて昼寝をするかも知れない。,You may give up right away and take a nap.,I may give up soon and just take a nap.,tatoeba
彼のことを気の毒に思わずにはいられなかった。,I couldn't help feeling sorry for him.,I could not help feeling sorry for him.,tatoeba
1859年以降、プロテスタント宣教師がアメリカから派遣され、またカトリックとロシア正教も布教活動を行った。,"After 1859, Protestant missionaries were sent from the United States, as well as Catholic and Russian Orthodox missionaries.","From 1859, Protestant missionaries from America started to arrive, and the Catholic and Russian Orthodox churches also became actively involved in missionary work.",tatoeba
これ以上生意気言うとたたくぞ。,I'm going to smack you up any more.,No more of your cheek or I'll hit you!,tatoeba
金持ちかもしれないがけちだ。,"It may be rich, but it is stingy.","He may be rich, but he is stingy.",tatoeba
私は長崎を案内するために彼らといっしょに行きました。,I went with them to guide me around Nagasaki.,I went with them so that I could guide them around Nagasaki.,tatoeba
この壬申検査には文部官僚の町田久成（東京国立博物館の初代館長）、蜷川式胤のほか、油絵画家の高橋由一、写真師の横山松三郎らが記録係として同行した。,"Hisanari TA, a Bunbu bureaucrat (the first director of the Tokyo National Museum), Shikimaro KAJIKAWA, Yuichi TAKAHASHI, an oil painter, and Shozaburo YOKOYAMA, a photographer, accompanied him as a recorder.","During this Jinshin Inspection, along with officials from the Education Ministry such as Hisanari MACHIDA (the first director of the Tokyo National Museum) and Noritane NINAGAWA, Yuichi TAKAHASHI (a painter) and Matsusaburo YOKOYAMA (a photographer) accompanied the team as recorders.",kftt
本書は、伊予吉田藩にて御殿医を勤めた平住専安（生年不詳-享保19年8月7日（1734年9月4日））が、正徳_(日本)年間に著した。,"This book was written in the Shotoku era by Senan HIRASUMI (year of birth unknown - September 4, 1734), who served as Goteni (a doctor of the Imperial Palace) in the Iyo-Yoshida Domain.","The book was written in the Shotoku (Japan) era by Senan HIRAZUMI (year of birth unknown, died on September 4, 1734) who served as a family doctor to the lord of the domain of Iyo-Yoshida.",kftt
横田商會（よこたしょうかい、1903年6月設立-1912年9月合併）は、かつて京都に存在した日本の映画会社である。,Shokai YOKOTA (established in June 1903 and merged in September 1912) was a Japanese film company that existed in Kyoto.,"Yokota Shokai (founded in June 1903, consolidated in September 1921) is a Japanese film company once existed in Kyoto.",kftt
しかし、活動弁士を生業として、それのみで生活できるのは現在では澤登翠などごくわずかであり、大半の活動弁士は、山崎バニラのように声優などのテレビ出演や、山田広野のように映画監督など、副業を持っている場合が多い。,"However, there are only a few active benshi who can live on their own at present, such as Toya SAWA, and most active benshi have side jobs such as TV appearances such as voice actors and film directors like Banilla YAMAZAKI and Hirono YAMADA.","However today there are very few, Midori SAWATO is one of these few, who can make their living exclusively by movie narration, so most katsudo benshi have sidelines such as television voice acting like Vanilla YAMAZAKI, or as film directors like Hirono YAMADA.",kftt
その義維としても、あわよくば将軍への道が拓けようというのだから、積極的に関わったとも察せられる。,It can be thought that Yoshikazura was actively involved because he hoped to pave the way for the Shogun if he did well.,Yoshitsuna was possibly engaged in it positively because he would be on track to becoming Shogun if circumstances allowed.,kftt
義平次は金を貰えると聞いて駕籠を返すが、「アニよ、その金は？」「さあ、その金は・・・」「その金は？」「その金、ここにはござりませぬわい」と金子に見せかけた石を出す。,"When Giheiji heard that he could get the money, he returned the basket, but he said to Kaneko, 'Ani, what about the money?' 'Now, the money?' 'The money?' 'The money?' and 'The money doesn't go out of the way here.'","Giheiji heard that he could get some money and had the palanquin return and said, 'Hey, where's the money?', 'Well, that money is...', 'Yes? That money?', 'I don't have the money here' and takes out the stone camouflaging as money.",kftt
たとえば左京大夫は大名中でも四職家にしか許されない官であったが、戦国期には地方の小大名ですら任じられるようになり、時には複数の大名が同時期に任じられることもあった。,"For example, Sakyo no daibu (Master of the Eastern Capital Offices) was allowed to serve only four shikike among daimyo, but during the Sengoku period (period of warring states), even small local daimyo were appointed, and sometimes more than one daimyo was appointed at the same time.","For example, the post called Sakyo no daibu (Master of the Eastern Capital Offices) used to be a one which was only given to the four specific families called Shishiki-ke (four administrators' family: Yamana, Isshiki, Akamatsu, Kyogoku) among all the daimyo, however, during the Sengoku period even a low rank daimyo in a rural area was awarded the post and sometimes multiple daimyos were awarded at the same time.",kftt
これは、大原に住みついた念仏行者を取り締まり、大原にそれ以前からあった来迎院(京都市左京区)、勝林院などの寺院を管理するために設置されたものである。,"This was established to control temples such as Raigo-in Temple (Sakyo Ward, Kyoto City) and Shorin-in Temple which had existed before Ohara by cracking down on Nenbutsu gyoja who lived in Ohara.","This was established in order to supervise the Nembutsu practitioners who inhabited Ohara and administer other temples that were already present in Ohara, such as Raigo-in Temple (Sakyo Ward, Kyoto City) and Shorin-in Temple.",kftt
しかし近世に至って表現豊かな楽器である三味線が渡来、完成され、更に箏、胡弓が加わり、これらによる新たな音楽が生まれた。,"However, in the early modern times, shamisen, an expressive instrument, came and was completed, and koto and kokyu were added to create new music.","However, the shamisen, an instrument full of expression, introduced from abroad and reached its full potential by the early Edo period, and moreover, the koto and kokyu were added and consequently a new kind of music developed.",kftt
大化の改新以後、唐の影響を受けた様々な制度・行事・儀礼が行われるようになり、その際の様々な礼儀作法が定められるようになった。,"After the Taika Reforms, various systems, events and rituals that were influenced by Tang came to be implemented, and various manners and manners were established at that time.","After the Taika Reform, various systems, functions, and formalities influenced by Tang models began to be introduced, and various rules and customs began to be prescribed.",kftt
いっぽうリュートが撥を捨て、指頭で弾くことから多音性を発達させ、弦数も増えていったのに比べ、日本の琵琶は逆に撥を大型化して一音にすべてを込め、また打楽器的効果を持たせた。,"On the other hand, because the lute discarded the chopsticks and played them at the fingertips, the multi-tone nature developed and the number of strings increased, and on the other hand, the chopsticks in Japan increased the chopsticks and put them all into a single tone and made them have a percussion-like effect.","Lutes abandoned plectrums and developed polyphony by playing with fingers and increased the number of strings, but Japanese biwa made its plectrum bigger and tried to express all tones in one tone and also give a percussion-like effect.",kftt
以後、萬福寺を中心として高遊会の茶会・会合が行われ、煎茶道復興が計られた。,"Since then, the tea ceremony and meetings of the Koyukai were held mainly at the Kanpuku-ji Temple, and the revival of the Senchado was required.","Since then, Koyukai's tea parties and meetings have been held with Manpuku-ji temple at the center, aiming for a renaissance of Senchado.",kftt
永禄11年（1568年）、織田信長が足利義昭を擁して上洛してくると摂津の他の豪族が降伏していくなか、敢然と抵抗したが、信長の圧倒的な軍事力の前に降服せざるを得なかった。,"When Nobunaga ODA went to Kyoto with Yoshiaki ASHIKAGA in 1568, he dared to resist while other powerful clans in Settsu surrendered, but he was forced to surrender before Nobunaga's overwhelming military power.","In 1568, when Nobunaga ODA went to Kyoto supporting Yoshiaki ASHIKAGA, the Ikeda clan resisted ruling by Nobunaga while other local ruling families in Settsu Province capitulated to Nobunaga, but the Ikeda clan finally capitulated due to overwhelming military force of Nobunaga.",kftt
アニメーション作家宮崎駿の｢風の谷のナウシカ」のナウシカはこの姫君から着想を得ている。,"Nausica of ""The Valley of the Wind"" by the animation artist Hayao Miyazaki is inspired by this princess.","Nausicaa of animation cartoonist Hayao MIYAZAKI's ""Nausicaa of the Valley of Wind"" was inspired by the princess.",kftt
もし間人皇女＝「中皇命」とすれば、なぜ彼女だけが特別にこうした呼称で呼ばれる必要性があったのかを考えられるが、斉明天皇だとする説もあり、必ずしも確証は無い。,"If Imahito no Himemiko = 'Chuko no Mikoto,' there is a theory that she was the Emperor Saimei, and there is no evidence that she was the only one who needed to be called by such a name.","If Hashihito no Himemiko was the same person as ""Nakatsusumera-mikoto,"" there is a question why only she had this special name; alternatively, it is said that this name could have been for Empress Saimei, but there is no proof.",kftt
この浄土教をルーツに、平安末期の良忍の融通念仏宗や、法然の浄土宗、親鸞の浄土真宗、一遍の時宗などの鎌倉新仏教が派生した。,"This Jodo sect originated in the Yuzu Nenbutsu sect of Ryonin at the end of the Heian period, the Jodo sect of Honen, the Jodo Shinshu sect of Shinran, and the Ji sect of Ippen.","Various beliefs sprung from Jodo (Pure Land) sect to Kamakura New Buddhism, such as Yuzu Nenbutsu (reciting the name of Amitabha) by Ryonin in the late Heian period, Jodo Sect by Honen, Jodo Shinshu (the True Pure Land Sect of Buddhism) by Shinran, and Ji Sect by Ippen.",kftt
海戦用の水軍や朝鮮沿岸を西進する作戦を持たなかった日本軍は、陸戦部隊や後方で輸送任務にあたっていた部隊から急遽水軍を編成して対抗した。,"The Japanese, who did not have a naval force for naval battles or an operation to advance west along the coast of Korea, suddenly organized and countered the naval force from the land forces and the troops who had been carrying out transportation duties at the rear.","The Japanese army that did not have a navy for fighting on the sea nor a plan to proceed to the west along the coast of Korea, they hastily organized a navy with troops for land combat and troops that had been engulfed in transportation in the rear to cope with the Korean navy.",kftt
「書跡」は宸翰、和漢名家筆跡、古筆、墨跡、法帖等で日本の書道史上の遺品を指す。,"Shoseki' refers to relics from the history of calligraphy in Japan, such as , Japanese and Chinese calligraphers' handwriting, old calligraphy, ink traces, and hosaku (Buddhist calligraphy).","Calligraphy work' refers to Imperial letters, examples of handwriting by well-known calligraphers of Japan and China, ancient writings, ink calligraphy, calligraphy copybooks, and any other written works (in Japan) of historical significance by deceased calligraphers.",kftt
文久三年五月頃（1863年6月～7月）に入隊し、同月二十五日（1863年7月10日）の「幕府提出上書署名者一覧」に名前がある。,"He joined the army around May 1863 (June to July 1863), and his name was in the 'List of Signers to Submit to the Bakufu' (Japanese feudal government headed by a shogun) on July 10, 1863.","Takumi joined the Miburoshigumi in around June or July, 1863, as his name appeared in a 'List of Signers for Official Documents Submitted to the Shogunate' ('Bakufu Teishutsu Josho Shomeisha Ichiran' in Japanese) which was dated July 10, 1863.",kftt
「西の覗き」を過ぎると前述の護持院によって運営される5軒の宿坊が建ち並び、その先に本堂が建つ。,"After 'the west peep,' five shukubo, operated by the Goji-in Temple mentioned above, are lined up, and before that, the main hall is built.","After passing the 'Nishi no Nozoki' trial, the path leads to the previously mentioned five lodging houses, beyond which stands the main hall.",kftt
戦国時代には、八木に守護代内藤氏、園部に武名の名高い荒木氏綱、美山町域は秦氏の末裔という（但し異説がある）川勝氏が割拠した。,"During the Sengoku period (period of warring states), the Naito clan, Shugodai (deputy provincial constable) in Yagi Province, Ujitsuna ARAKI, who was famous for Takena in Sonobe Province, and the Kawakatsu clan, who was said to be a descendant of the Hagi clan (although there is a different theory).","In the Sengoku period (period of warring states), the Naito clan appointed as Shugodai (representative of provincial shugo) established influence in Yagi, Ujitsuna ARAKI renowned for military fame established influence in Sonobe, and the Kawakatsu clan believed to be a scion of the Hata clan (however, other people have different opinions) established influence in the town area of Miyama, respectively.",kftt
2月21日は「社参」が行なわれ、新入を除く練行衆が和上を先頭に列を作り、八幡殿、大仏殿、天皇殿、開山堂に参詣し、行の安全を祈願する。,"On February 21, 'shasan' (shrine visits) were held, and rengyoshu (members of the ceremonial procession) except for Shiniri (new entry) made a line at the head of Wajo and visited Hachiman-den Hall, Daibutsu-den Hall, Tenno-den Hall and Kaizan-do Hall to pray for the safety of the procession.","""Shasan"" (visit to shrines or temples) is done on February 21, and the Rengyoshu except for Shinnyu form a line led by Wajo and visit Hachimanden, Daibutsu-den (the Great Buddha hall), Tennoden (the Guardian Kings Hall) and Kaisan-do Hall (temple where the statue of founder priest is placed) and pray for the security of the practice.",kftt
そして6月、遂に清浦内閣は倒れ、第一党の加藤高明に内閣組閣の大命が下った。,"In June, the KIYOURA cabinet finally collapsed, and Takaaki KATO, the first party, was ordered to form the Cabinet.","In June, the KIYOURA cabinet was brought down at last and Takaaki Kato, the leader of the leading party received a mandate to form a new cabinet.",kftt
特に缶コーヒーのような雰囲気が重視される商品の場合、ケミカルな印象がマイナスイメージにもなりえる。,"Especially in the case of products that place importance on atmospheres such as canned coffee, the chemical impression can be a negative image.","More especially, in products where the atmosphere is valued as canned coffee, a chemical-like impression may give a negative impression.",kftt
そのように、建てられてきた城の象徴的な多重建物、いわゆる天守をさらに流行させたのは豊臣秀吉である。,"As such, it was Hideyoshi TOYOTOMI who made the so-called Tenshu, a symbol of the castle, more popular.","Hideyoshi TOYOTOMI further popularized so-called Tenshu, symbolic multiple-story buildings which had been so constructed.",kftt
以後上方歌舞伎は歌舞伎界の中心から外れてゆくが、丁度上方から江戸への文化伝播にともない、江戸歌舞伎が発展していくのと符合する。,"Since then, Kamigata Kabuki has departed from the center of the Kabuki world, but it is consistent with the development of Edo Kabuki due to the spread of culture from Kamigata to Edo.","After this period, Kamigata Kabuki drifted from the center of the Kabuki world, coinciding with the development of Edo Kabuki in conjunction with the dissemination of culture from Kamigata (Kyoto and Osaka area) to Edo.",kftt
マダラジソf.rosea(G.Nicholson)Kudô-斑紫蘇。,Madarajiso f.rosea (G. Nicholson) Kudô - Scratch Purple.,"Madara-jiso, f. rosea (G.Nicholson) Kudo",kftt
生産量の30-40%を占める最も多い部位であり、かつての学校給食にも供給された。,"It accounted for 30–40% of the production, and was also supplied to former school lunches.","These portions constitute the largest part of the whale meat produced, occupying 30 % to 40%, and have been used in school lunches in the past.",kftt
260形261-262号車が九条山付近（蹴上～日ノ岡間）の専用軌道上に回送運転され、九条山付近（蹴上～日ノ岡間の専用軌道上）～御陵府道東踏切付近間の旅客営業を行わない事実上の最終列車となる。,No. 260 type 261-262 was transferred to and from Kujoyama Station on a dedicated track (between Keage and Hinooka) and became the de facto final train that did not operate as a passenger between Kujoyama Station (on a dedicated track between Keage and Hinooka Stations) and Goryofudo Higashi-tekkiri Station.,"A train using model 260 cars of 261-262 was deadheaded to the exclusive track located in the vicinity of Kujoyama (Keage - Hinooka section), and ultimately it was the last train with no passenger service that ran between the vicinity of Kujoyama (on the exclusive track between Keage and Hinooka) and the vicinity of the east crossing on the Misasagi Prefectural Route.",kftt
このとき邪魔が入らぬように鴨川の堤から警護したのが兼家の命を受けた清和源氏の源満仲とその郎党達である。,It was MINAMOTO no Mitsunaka of Seiwa-Genji (Minamoto clan) who received Kaneie's order and his retainers who guarded him from the bank of Yodo-gawa River so as not to disturb him at that time.,"At that time, having received orders from Kaneie, MINAMOTO no Mitsunaka of the Seiwa Genji (the MINAMOTO family were descended from the Emperor Seiwa) and his retainers protected the Emperor from the opposition at the bend of the Kamogawa River.",kftt
肯定的立場からは、事実上の国歌として歌われてきた明治以来の伝統を重視するリベラル寄りの意見がある。,"From a positive point of view, there is an opinion of liberals who emphasize the tradition since the Meiji period, which has been sung as a de facto national anthem.","From the affirmative standpoints, there is an opinion on the liberal side which places importance upon tradition since the Meiji Period to sing as de facto, the national anthem.",kftt
伊勢の北畠具教に一時期寄食し、軍師的な役割をこなして海賊退治をした事もあったと言われるが定かではない。,"It is said that he visited Tomonori KITABATAKE in Ise for a while, played a role as a warlord, and exterminated pirates, but it is not certain.","It is said that he temporarily lived off Tomonori KITABATAKE of Ise Province, playing a role as a strategist and exterminated pirate ship, but the truth is unknown.",kftt
まず位階の昇進を受けて、その後に昇進後の位階に相当する官職の就任資格を得るのが原則であった。,"In principle, it was necessary to receive the promotion of the court rank first, and then to obtain the qualification for the appointment of a government post equivalent to the promotion of the court rank after that.",The principal was that the official was promoted on Ikai first and then received the qualification to assume the government post equivalent to the Ikai.,kftt
知念森城（ちねんもりぐすく）は沖縄の歌集『おもろさうし』に神が初めに現れた城として登場する。,"Chinenmori-jo Castle appears as the castle where the gods first appeared in the Okinawan collection of poems ""Omorosashi.""","Chinenmori-gusuku Castle is said to be a castle in which a god appeared for the first time in Okinawan poetry anthology ""Omoshirososhi"" (Interesting Literature).",kftt
これは彼の功績であると称賛され、以後、即位礼は紫宸殿で行われる例となった。,"This was praised as his achievement, and since then, the enthronement ceremony has been held at Shishinden.","This decision was highly praised as his great achievement, and it became customary to hold the coronation ceremony in the Shishinden Hall.",kftt
このような将軍の犬死は、古来例を聞いたことがない」と書き残している。,"The death of such a shogun's dog has never been heard of in ancient times.""",There were no precedent for such lost of shogun's life for nothing since ancient times.,kftt
1543年（天文(元号)12年）、ポルトガル商人が乗った中国船が種子島に漂着。,"In 1543, a Chinese ship carried by a Portuguese merchant drifted to Tanegashima Island.","In 1543, Chinese ship with Portuguese merchants on board drifted down to Tanegashima Island.",kftt
古川節蔵（ふるかわせつぞう、幼名・岡本亀五郎。通称・岡本周吉、のち古川節蔵、古川正雄。ペンネーム・岡本博卿など。1837年（天保8年）3月4日）-1877年（明治10年）4月2日）は、明治期の教育者。,"Seszo FURUKAWA (child name: Kamegoro OKAMOTO; common name: Shukichi OKAMOTO; later, Setsuzo FURUKAWA, Masao FURUKAWA; pen name: Hirokei OKAMOTO; March 4, 1837 - April 2, 1877) was an educator in the Meiji period.","Setsuzo FURUKAWA (March 4, 1837 - April 2, 1877) was an educator of the Meiji period (childhood name was Kamegoro OKAMOTO; common name was Shukichi OKAMOTO, later changed to Setsuzo FURUKAWA and to Masao FURUKAWA; pen name was Hakukei OKAMOTO and so on).",kftt
朝廷の天皇問題の頃から過労が原因で倒れていた泰時は、赤痢を併発させて体調が悪化したため、出家して観阿と号し、1ヶ月半後の仁治3年（1242年）6月15日に死去した。,"Yasutoki, who had fallen due to overwork since the Emperor's problem in the Imperial Court, became a priest and called himself Kana and died on June 15, 1242.","Yasutoki, who had been sick with excessive fatigue since the occurrence of the dispute of imperial enthronement, became more sick due to dysentery accompaning the fatigue; subsequently, he became a Buddhist priest and had the priestly name Kana; he died one-and-a-half months later on July 21, 1242.",kftt
